bhuman/GameController	jankotek/mapdb	junit-team/junit	ornicar/lila	niklasf/python-chess	
2	33	120	3	1	
2	34	120	3	1	
2	34	120	3	1	
2	35	120	3	1	
2	35	120	4	1	
2	34	120	4	1	
2	34	120	4	1	
2	34	122	5	1	
2	34	122	5	1	
2	34	123	5	1	
2	34	123	4	1	
2	34	123	4	1	
2	35	123	4	1	
2	38	123	4	1	
2	38	123	4	1	
2	38	123	4	1	
2	38	123	5	1	
2	38	123	5	1	
2	38	123	5	1	
2	38	123	5	1	
2	38	123	5	1	
2	38	123	5	1	
2	38	123	5	1	
2	38	124	5	1	
2	38	124	5	1	
2	37	124	5	1	
2	37	124	5	1	
2	37	124	5	1	
2	37	124	5	1	
2	38	124	5	1	
2	38	124	5	1	
2	39	126	5	1	
2	39	126	5	1	
2	39	126	5	1	
2	39	126	5	1	
2	40	126	5	1	
2	40	127	5	1	
2	40	127	5	1	
2	40	127	5	1	
2	40	128	5	1	
2	40	128	5	1	
2	41	128	5	1	
2	41	128	5	1	
2	42	128	5	1	
2	42	128	5	1	
2	42	131	5	1	
2	41	132	5	1	
2	41	132	5	1	
2	35	132	5	1	
2	36	132	5	1	
2	36	132	6	1	
2	36	132	6	1	
2	36	133	6	1	
2	36	133	6	1	
2	36	133	6	1	
2	37	133	6	1	
2	37	133	6	1	
2	37	134	6	1	
2	37	134	6	1	
4	37	135	6	1	
4	36	135	6	1	
4	37	135	6	1	
4	38	135	6	1	
4	38	135	6	1	
4	38	136	6	1	
4	38	136	6	1	
4	39	136	6	1	
4	38	138	6	1	
4	39	138	6	1	
4	40	138	6	1	
4	40	138	6	1	
4	40	138	6	1	
4	41	138	6	1	
4	41	138	6	1	
4	41	138	6	1	
4	41	140	6	1	
4	42	140	6	1	
4	43	140	6	1	
4	44	139	6	1	
4	44	139	6	1	
4	44	141	6	1	
4	44	141	6	1	
4	45	141	6	1	
4	45	141	6	1	
4	45	141	6	1	
4	45	141	6	1	
4	45	136	6	1	
4	44	136	6	1	
4	45	138	6	2	
4	46	139	6	2	
4	47	139	7	2	
4	47	139	7	2	
4	47	139	7	2	
4	48	140	7	2	
4	48	129	7	2	
4	49	129	7	2	
4	45	120	7	2	
4	45	120	7	2	
4	45	120	7	2	
4	46	120	7	2	
4	46	124	7	2	
4	47	123	7	2	
4	49	123	7	3	
4	48	125	7	3	
4	48	125	7	3	
4	49	125	7	3	
4	49	125	7	3	
4	49	125	7	3	
4	49	125	7	3	
4	49	127	7	3	
4	50	127	7	3	
4	50	127	7	3	
4	46	127	8	3	
4	47	127	8	3	
4	47	127	8	3	
4	47	127	8	3	
4	47	128	8	3	
4	46	128	8	3	
4	49	128	8	4	
4	49	128	8	4	
4	49	130	9	4	
4	49	130	9	4	
4	49	130	9	4	
4	49	131	9	4	
4	49	131	9	4	
4	49	131	9	4	
4	52	131	9	4	
4	52	132	9	4	
4	52	131	9	4	
4	52	131	9	4	
4	52	131	9	4	
4	52	131	9	4	
4	52	131	9	4	
4	53	131	9	4	
4	54	131	9	4	
4	54	131	9	4	
4	54	131	9	4	
4	54	130	9	4	
4	56	126	9	4	
4	54	126	9	4	
4	54	126	9	4	
4	54	127	10	4	
4	54	127	10	4	
4	54	128	10	4	
4	53	128	11	4	
4	53	128	10	4	
4	53	128	10	4	
4	53	128	10	4	
4	54	129	10	4	
4	54	132	10	4	
4	54	133	10	4	
4	54	133	10	4	
4	54	132	10	4	
4	56	132	10	4	
4	56	132	10	4	
4	56	132	10	4	
4	57	132	10	4	
4	57	134	10	4	
4	57	134	10	4	
4	57	134	10	4	
3	58	134	10	4	
3	58	134	10	4	
3	58	134	10	4	
3	58	134	11	4	
3	59	134	11	4	
3	59	134	11	4	
3	59	134	11	4	
3	59	134	12	4	
3	59	134	11	4	
3	60	135	11	4	
3	60	135	11	4	
3	60	135	11	4	
3	57	136	11	4	
3	57	135	11	4	
3	57	135	11	4	
3	57	135	11	4	
3	57	135	11	4	
3	57	136	11	4	
3	57	136	11	4	
3	57	136	11	3	
3	57	137	11	3	
3	57	137	11	3	
3	58	137	11	3	
3	59	141	11	3	
3	60	142	11	3	
3	60	139	11	3	
3	60	138	11	3	
3	61	138	11	3	
3	61	139	11	3	
3	62	139	11	3	
3	62	138	12	3	
3	62	137	12	3	
3	62	137	12	3	
3	62	137	12	3	
3	63	137	12	3	
3	63	137	12	2	
3	63	138	12	2	
3	64	138	12	2	
